gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,8192,1536,128,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,702,1,11.2047,flydsl_gemm2_abf16_wbf16_bf16_t64x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,287488.41,2.47
gfx950,256,8192,1536,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,585,1,357.1904,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,505020.89,0.46
gfx950,256,8192,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,561,1,555.255,flydsl_gemm2_abf16_wbf16_bf16_t32x64x128_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,446703.52,0.33
gfx950,256,8192,2304,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,708,1,115.1199,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,503666.87,0.61
gfx950,256,8192,3584,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,540,1,805.1599,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,522761.77,0.28
gfx950,256,8192,6288,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,569.6151,,0,1296429.61,0.55
gfx950,256,8192,7168,768,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,564,1,179.8804,flydsl_gemm2_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,501412.6,0.78
gfx950,256,8192,7168,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,750,1,377.2764,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,478133.84,0.44
gfx950,256,8192,7168,3584,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,525,1,810.0913,flydsl_gemm3_abf16_wbf16_bf16_t32x64x64_split_k1_block_m_warp1_block_n_warp1_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0,519579.46,0.28
gfx950,256,8192,7168,4224,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,358.6076,,0,1383319.16,0.69
gfx950,256,8192,8448,7168,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,733.1821,,0,1353193.68,0.51
