Timeslice,Start_NS,End_NS,Metric,Unit,Stat,Value
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput,tokens/sec,std,0.00
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,avg,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,min,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,max,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,p50,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,p90,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,p95,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,p99,83424.84
0,1783588550633024512,1783588551633024512,Effective Prefill Throughput Per User,tokens/sec/user,std,0.00
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,avg,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,min,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,max,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,p50,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,p90,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,p95,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,p99,83424.84
0,1783588550633024512,1783588551633024512,Effective Total Throughput,tokens/sec,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,avg,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,min,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,max,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,sum,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p1,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p5,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p10,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p25,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p50,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p75,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p90,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p95,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,p99,0.00
0,1783588550633024512,1783588551633024512,HTTP Blocked,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,avg,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,min,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,max,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,sum,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p1,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p5,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p10,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p25,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p50,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p75,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p90,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p95,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,p99,2.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Received,count,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,avg,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,min,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,max,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,sum,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p1,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p5,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p10,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p25,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p50,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p75,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p90,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p95,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,p99,1.00
0,1783588550633024512,1783588551633024512,HTTP Chunks Sent,count,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,avg,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,min,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,max,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,sum,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p1,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p5,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p10,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p25,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p50,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p75,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p90,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p95,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,p99,0.00
0,1783588550633024512,1783588551633024512,HTTP Connecting,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,avg,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,min,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,max,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,sum,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p1,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p5,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p10,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p25,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p50,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p75,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p90,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p95,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,p99,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Overhead,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,avg,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,min,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,max,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,sum,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p1,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p5,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p10,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p25,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p50,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p75,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p90,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p95,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,p99,1.00
0,1783588550633024512,1783588551633024512,HTTP Connection Reused,ratio,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,avg,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,min,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,max,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,sum,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p1,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p5,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p10,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p25,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p50,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p75,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p90,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p95,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,p99,1.11
0,1783588550633024512,1783588551633024512,HTTP Data Received,KB,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,avg,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,min,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,max,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,sum,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p1,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p5,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p10,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p25,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p50,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p75,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p90,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p95,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,p99,768.26
0,1783588550633024512,1783588551633024512,HTTP Data Sent,KB,std,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,avg,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,min,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,max,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,sum,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p1,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p5,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p10,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p25,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p50,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p75,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p90,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p95,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,p99,0.00
0,1783588550633024512,1783588551633024512,HTTP DNS Lookup,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,avg,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,min,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,max,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,sum,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p1,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p5,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p10,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p25,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p50,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p75,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p90,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p95,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,p99,2353.87
0,1783588550633024512,1783588551633024512,HTTP Duration (excl. conn),ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,avg,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,min,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,max,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,sum,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p1,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p5,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p10,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p25,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p50,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p75,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p90,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p95,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,p99,22.06
0,1783588550633024512,1783588551633024512,HTTP Receiving,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,avg,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,min,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,max,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,sum,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p1,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p5,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p10,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p25,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p50,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p75,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p90,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p95,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,p99,0.37
0,1783588550633024512,1783588551633024512,HTTP Sending,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,avg,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,min,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,max,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,sum,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p1,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p5,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p10,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p25,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p50,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p75,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p90,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p95,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,p99,2353.87
0,1783588550633024512,1783588551633024512,HTTP Total Time,ms,std,0.00
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,avg,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,min,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,max,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,sum,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p1,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p5,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p10,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p25,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p50,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p75,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p90,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p95,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,p99,2331.43
0,1783588550633024512,1783588551633024512,HTTP Waiting (TTFB),ms,std,0.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,avg,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,min,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,max,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,sum,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p1,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p5,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p10,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p25,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p50,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p75,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p90,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p95,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,p99,194543.00
0,1783588550633024512,1783588551633024512,Input Sequence Length,tokens,std,0.00
0,1783588550633024512,1783588551633024512,Input Token Throughput,tokens/sec,avg,194543.00
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,avg,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,min,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,max,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,sum,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p1,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p5,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p10,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p25,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p50,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p75,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p90,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p95,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,p99,22.04
0,1783588550633024512,1783588551633024512,Inter Chunk Latency,ms,std,0.00
